key,key:booking,key:passenger,draftMode
booking-record-01,booking-01,passenger-01,false
booking-record-02,booking-01,passenger-02,false
booking-record-03,booking-01,passenger-03,false
booking-record-04,booking-02,passenger-04,false
booking-record-05,booking-02,passenger-05,false
booking-record-06,booking-02,passenger-06,false
booking-record-07,booking-03,passenger-07,true
booking-record-08,booking-03,passenger-08,true
booking-record-09,booking-03,passenger-09,true
booking-record-10,booking-03,passenger-10,true
booking-record-11,booking-04,passenger-11,false
booking-record-12,booking-05,passenger-12,true
booking-record-13,booking-05,passenger-13,true
booking-record-14,booking-06,passenger-14,false
booking-record-15,booking-07,passenger-15,false
booking-record-16,booking-08,passenger-16,true
booking-record-17,booking-08,passenger-17,true
booking-record-18,booking-09,passenger-18,false
booking-record-19,booking-09,passenger-19,false
booking-record-20,booking-09,passenger-20,false
booking-record-21,booking-09,passenger-21,false
