key,name,moment,subject,text,score,recommended
review-01,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-02,名字,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-03,اسم,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-04,a,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-05,aa,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-06,aaaaaaaaaaaaaaaaaaaaa,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-07,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-08,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-09,qwerty uiop,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-10,Имя,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-11,Pedro López González,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-12,¨*W++´`´wd*^we+`dñw,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,null
review-13,nombre,2000/01/01 00:00,Subject de ejemplo,Text de ejemplo,null,null
review-14,nombre,2000/01/01 00:01,Subject de ejemplo,Text de ejemplo,null,null
review-15,nombre,2000/01/02 00:00,Subject de ejemplo,Text de ejemplo,null,null
review-16,nombre,2022/06/25 17:22,Subject de ejemplo,Text de ejemplo,null,null
review-17,nombre,2022/07/29 00:00,Subject de ejemplo,Text de ejemplo,null,null
review-18,nombre,2022/07/29 23:59,Subject de ejemplo,Text de ejemplo,null,null
review-19,nombre,2022/07/30 00:00,Subject de ejemplo,Text de ejemplo,null,null
review-20,nombre,2020/11/30 12:30,a,Text de ejemplo,null,null
review-21,nombre,2020/11/30 12:30,aa,Text de ejemplo,null,null
review-22,nombre,2020/11/30 12:30,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Text de ejemplo,null,null
review-23,nombre,2020/11/30 12:30,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Text de ejemplo,null,null
review-24,nombre,2020/11/30 12:30,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Text de ejemplo,null,null
review-25,nombre,2020/11/30 12:30,موضوع مثال,Text de ejemplo,null,null
review-26,nombre,2020/11/30 12:30,示例主题,Text de ejemplo,null,null
review-27,nombre,2020/11/30 12:30,Тема примера,Text de ejemplo,null,null
review-28,nombre,2020/11/30 12:30,asdfg hjkl,Text de ejemplo,null,null
review-29,nombre,2020/11/30 12:30,"Buen servicio de las tiendas, en mi opinión",Text de ejemplo,null,null
review-30,nombre,2020/11/30 12:30,Subject de ejemplo,a,null,null
review-31,nombre,2020/11/30 12:30,Subject de ejemplo,aa,null,null
review-32,nombre,2020/11/30 12:30,Subject de ejemplo,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
review-33,nombre,2020/11/30 12:30,Subject de ejemplo,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
review-34,nombre,2020/11/30 12:30,Subject de ejemplo,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
review-35,nombre,2020/11/30 12:30,Subject de ejemplo,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,null,null
review-36,nombre,2020/11/30 12:30,Subject de ejemplo,نص مثال,null,null
review-37,nombre,2020/11/30 12:30,Subject de ejemplo,示例文本,null,null
review-38,nombre,2020/11/30 12:30,Subject de ejemplo,Пример текста,null,null
review-39,nombre,2020/11/30 12:30,Subject de ejemplo,zxcvbnm qwerty asdfgh asdf,null,null
review-40,nombre,2020/11/30 12:30,Subject de ejemplo,"Durante mi escala en el aeropuerto, visité varias tiendas y quedé impresionado con el servicio. El personal fue amable, me ayudó a encontrar regalos y la atención fue rápida. Todo limpio y bien organizado. ¡Una gran experiencia de compra!",null,null
review-41,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,0,null
review-42,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,0.1,null
review-43,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,1,null
review-44,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,3.6,null
review-45,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,7.2,null
review-46,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,9,null
review-47,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,9.9,null
review-48,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,10,null
review-49,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,,null
review-50,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,
review-51,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,true
review-52,nombre,2020/11/30 12:30,Subject de ejemplo,Text de ejemplo,null,false
